ID,ファイル名,読み上げる文章,まとめ,対象,テスト運用,同じ音声を使う場面,収録メモ
err-grade-format,err-grade-format.mp3,評定を、1から5の数字で言ってください。,聞き直し,,追加設定のとき,答えとして受け取れなかったとき,通知表を聞くときだけ
err-grade-range,err-grade-range.mp3,評定は1から5です。もう一度言ってください。,聞き直し,,追加設定のとき,答えとして受け取れなかったとき,通知表を聞くときだけ
err-choice,err-choice.mp3,選択肢の中から、いちばん近いものを選んで言ってください。,聞き直し,,追加設定のとき,答えとして受け取れなかったとき / 今回の手ごたえの言い直し,
err-free,err-free.mp3,もう少しくわしく聞かせてください。,聞き直し,,追加設定のとき,答えとして受け取れなかったとき,
skip,skip.mp3,わかりました。この質問はとばしますね。,進行,,必要,,「わからない」と言われたときと、「とばす」を押したとき
touch-accepted,touch-accepted.mp3,ありがとう。,進行,,必要,,画面のボタンから入力されたとき。入力内容は読み上げない
touch-fallback,touch-fallback.mp3,うまく聞き取れないみたいです。画面から入力してください。,進行,,必要,,マイクが使えないとき
touch-hint,touch-hint.mp3,画面のボタンからも入力できます。,進行,,必要,,3回続けて聞き取れなかったとき。前後に別の音声が続く
q-intro-ready,q-intro-ready.mp3,これから、テストの点数について聞かせてください。準備はいいですか。,質問｜はじめに,準備はいいですか,必要,,
q-test-01,q-test-01.mp3,国語のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,国語の得点,必要,,
q-test-02,q-test-02.mp3,数学のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,数学の得点,必要,,
q-test-03,q-test-03.mp3,英語のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,英語の得点,必要,,
q-test-04,q-test-04.mp3,理科のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,理科の得点,必要,,
q-test-05,q-test-05.mp3,社会のテストは何点でしたか。点数を教えてください。,質問｜定期テストの得点,社会の得点,必要,,
q-report-01,q-report-01.mp3,通知表の国語の評定はいくつでしたか。,質問｜通知表の評定,国語の評定,追加設定のとき,,
q-report-02,q-report-02.mp3,通知表の社会の評定はいくつでしたか。,質問｜通知表の評定,社会の評定,追加設定のとき,,
q-report-03,q-report-03.mp3,通知表の数学の評定はいくつでしたか。,質問｜通知表の評定,数学の評定,追加設定のとき,,
q-report-04,q-report-04.mp3,通知表の理科の評定はいくつでしたか。,質問｜通知表の評定,理科の評定,追加設定のとき,,
q-report-05,q-report-05.mp3,通知表の英語の評定はいくつでしたか。,質問｜通知表の評定,英語の評定,追加設定のとき,,
q-report-06,q-report-06.mp3,通知表の音楽の評定はいくつでしたか。,質問｜通知表の評定,音楽の評定,追加設定のとき,,
q-report-07,q-report-07.mp3,通知表の美術の評定はいくつでしたか。,質問｜通知表の評定,美術の評定,追加設定のとき,,
q-report-08,q-report-08.mp3,通知表の保健体育の評定はいくつでしたか。,質問｜通知表の評定,保健体育の評定,追加設定のとき,,
q-report-09,q-report-09.mp3,通知表の技術・家庭の評定はいくつでしたか。,質問｜通知表の評定,技術・家庭の評定,追加設定のとき,,
q-review-mood,q-review-mood.mp3,今回の成績について、自分ではどう感じていますか。,質問｜ふりかえり,今回の手ごたえ,追加設定のとき,,
q-review-reason,q-review-reason.mp3,そう感じたのはどうしてですか。理由を聞かせてください。,質問｜ふりかえり,うまくいった / いかなかった理由,追加設定のとき,,
q-review-reason-again,q-review-reason-again.mp3,もう一度、ゆっくりで大丈夫なので、理由を聞かせてください。,質問｜ふりかえり,うまくいった / いかなかった理由,追加設定のとき,うまくいった / いかなかった理由の言い直し,聞き取れなかったときの言い直し
q-goal-subject,q-goal-subject.mp3,次のテストで、いちばん伸ばしたい教科はどれですか。,質問｜次の目標,次に伸ばしたい教科,追加設定のとき,,
q-goal-subject-again,q-goal-subject-again.mp3,もう一度、伸ばしたい教科の名前を言ってください。,質問｜次の目標,次に伸ばしたい教科,追加設定のとき,次に伸ばしたい教科の言い直し,聞き取れなかったときの言い直し
q-goal-score,q-goal-score.mp3,その教科で、次は何点を目指しますか。目標の点数を教えてください。,質問｜次の目標,次の目標点,追加設定のとき,,
q-goal-action,q-goal-action.mp3,その目標のために、今日から始められることを1つ教えてください。,質問｜次の目標,今日から始めること,追加設定のとき,,
q-goal-action-again,q-goal-action-again.mp3,もう一度お願いします。今日から始められることを1つ教えてください。,質問｜次の目標,今日から始めること,追加設定のとき,今日から始めることの言い直し,聞き取れなかったときの言い直し
