ID,ファイル名,読み上げる文章,まとめ,対象,収録メモ
q-report-05-again,q-report-05-again.mp3,もう一度お願いします。英語の評定を、1から5の数字で言ってください。,質問｜通知表の評定,英語の評定,聞き取れなかったときの言い直し
q-report-06,q-report-06.mp3,通知表の音楽の評定はいくつでしたか。,質問｜通知表の評定,音楽の評定,
q-report-06-again,q-report-06-again.mp3,もう一度お願いします。音楽の評定を、1から5の数字で言ってください。,質問｜通知表の評定,音楽の評定,聞き取れなかったときの言い直し
q-report-07,q-report-07.mp3,通知表の美術の評定はいくつでしたか。,質問｜通知表の評定,美術の評定,
q-report-07-again,q-report-07-again.mp3,もう一度お願いします。美術の評定を、1から5の数字で言ってください。,質問｜通知表の評定,美術の評定,聞き取れなかったときの言い直し
q-report-08,q-report-08.mp3,通知表の保健体育の評定はいくつでしたか。,質問｜通知表の評定,保健体育の評定,
q-report-08-again,q-report-08-again.mp3,もう一度お願いします。保健体育の評定を、1から5の数字で言ってください。,質問｜通知表の評定,保健体育の評定,聞き取れなかったときの言い直し
q-report-09,q-report-09.mp3,通知表の技術・家庭の評定はいくつでしたか。,質問｜通知表の評定,技術・家庭の評定,
q-report-09-again,q-report-09-again.mp3,もう一度お願いします。技術・家庭の評定を、1から5の数字で言ってください。,質問｜通知表の評定,技術・家庭の評定,聞き取れなかったときの言い直し
q-review-mood,q-review-mood.mp3,今回の成績について、自分ではどう感じていますか。,質問｜ふりかえり,今回の手ごたえ,
q-review-mood-again,q-review-mood-again.mp3,選択肢の中から、いちばん近いものを選んで言ってください。,質問｜ふりかえり,今回の手ごたえ,聞き取れなかったときの言い直し
q-review-reason,q-review-reason.mp3,そう感じたのはどうしてですか。理由を聞かせてください。,質問｜ふりかえり,うまくいった / いかなかった理由,
q-review-reason-again,q-review-reason-again.mp3,もう一度、ゆっくりで大丈夫なので、理由を聞かせてください。,質問｜ふりかえり,うまくいった / いかなかった理由,聞き取れなかったときの言い直し
q-goal-subject,q-goal-subject.mp3,次のテストで、いちばん伸ばしたい教科はどれですか。,質問｜次の目標,次に伸ばしたい教科,
q-goal-subject-again,q-goal-subject-again.mp3,もう一度、伸ばしたい教科の名前を言ってください。,質問｜次の目標,次に伸ばしたい教科,聞き取れなかったときの言い直し
q-goal-score,q-goal-score.mp3,その教科で、次は何点を目指しますか。目標の点数を教えてください。,質問｜次の目標,次の目標点,
q-goal-score-again,q-goal-score-again.mp3,もう一度お願いします。目標の点数を、数字で言ってください。,質問｜次の目標,次の目標点,聞き取れなかったときの言い直し
q-goal-action,q-goal-action.mp3,その目標のために、今日から始められることを1つ教えてください。,質問｜次の目標,今日から始めること,
q-goal-action-again,q-goal-action-again.mp3,もう一度お願いします。今日から始められることを1つ教えてください。,質問｜次の目標,今日から始めること,聞き取れなかったときの言い直し
confirm-lead-test-01,confirm-lead-test-01.mp3,国語の得点は、,確認｜前半（教科名）,国語の得点,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-test-02,confirm-lead-test-02.mp3,数学の得点は、,確認｜前半（教科名）,数学の得点,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-test-03,confirm-lead-test-03.mp3,英語の得点は、,確認｜前半（教科名）,英語の得点,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-test-04,confirm-lead-test-04.mp3,理科の得点は、,確認｜前半（教科名）,理科の得点,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-test-05,confirm-lead-test-05.mp3,社会の得点は、,確認｜前半（教科名）,社会の得点,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-01,confirm-lead-report-01.mp3,国語の評定は、,確認｜前半（教科名）,国語の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-02,confirm-lead-report-02.mp3,社会の評定は、,確認｜前半（教科名）,社会の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-03,confirm-lead-report-03.mp3,数学の評定は、,確認｜前半（教科名）,数学の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-04,confirm-lead-report-04.mp3,理科の評定は、,確認｜前半（教科名）,理科の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-05,confirm-lead-report-05.mp3,英語の評定は、,確認｜前半（教科名）,英語の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-06,confirm-lead-report-06.mp3,音楽の評定は、,確認｜前半（教科名）,音楽の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-07,confirm-lead-report-07.mp3,美術の評定は、,確認｜前半（教科名）,美術の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-08,confirm-lead-report-08.mp3,保健体育の評定は、,確認｜前半（教科名）,保健体育の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-report-09,confirm-lead-report-09.mp3,技術・家庭の評定は、,確認｜前半（教科名）,技術・家庭の評定,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-lead-goal-score,confirm-lead-goal-score.mp3,次の目標点は、,確認｜前半（教科名）,次の目標点,後ろに数字の音声を続けて鳴らすので、言い切らず、続く調子で
confirm-score-0,confirm-score-0.mp3,0点ですね。あっていますか。,確認｜後半（得点）,0点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-1,confirm-score-1.mp3,1点ですね。あっていますか。,確認｜後半（得点）,1点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-2,confirm-score-2.mp3,2点ですね。あっていますか。,確認｜後半（得点）,2点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-3,confirm-score-3.mp3,3点ですね。あっていますか。,確認｜後半（得点）,3点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-4,confirm-score-4.mp3,4点ですね。あっていますか。,確認｜後半（得点）,4点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-5,confirm-score-5.mp3,5点ですね。あっていますか。,確認｜後半（得点）,5点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-6,confirm-score-6.mp3,6点ですね。あっていますか。,確認｜後半（得点）,6点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-7,confirm-score-7.mp3,7点ですね。あっていますか。,確認｜後半（得点）,7点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-8,confirm-score-8.mp3,8点ですね。あっていますか。,確認｜後半（得点）,8点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-9,confirm-score-9.mp3,9点ですね。あっていますか。,確認｜後半（得点）,9点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-10,confirm-score-10.mp3,10点ですね。あっていますか。,確認｜後半（得点）,10点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-11,confirm-score-11.mp3,11点ですね。あっていますか。,確認｜後半（得点）,11点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-12,confirm-score-12.mp3,12点ですね。あっていますか。,確認｜後半（得点）,12点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-13,confirm-score-13.mp3,13点ですね。あっていますか。,確認｜後半（得点）,13点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-14,confirm-score-14.mp3,14点ですね。あっていますか。,確認｜後半（得点）,14点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-15,confirm-score-15.mp3,15点ですね。あっていますか。,確認｜後半（得点）,15点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-16,confirm-score-16.mp3,16点ですね。あっていますか。,確認｜後半（得点）,16点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-17,confirm-score-17.mp3,17点ですね。あっていますか。,確認｜後半（得点）,17点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-18,confirm-score-18.mp3,18点ですね。あっていますか。,確認｜後半（得点）,18点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-19,confirm-score-19.mp3,19点ですね。あっていますか。,確認｜後半（得点）,19点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-20,confirm-score-20.mp3,20点ですね。あっていますか。,確認｜後半（得点）,20点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-21,confirm-score-21.mp3,21点ですね。あっていますか。,確認｜後半（得点）,21点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-22,confirm-score-22.mp3,22点ですね。あっていますか。,確認｜後半（得点）,22点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-23,confirm-score-23.mp3,23点ですね。あっていますか。,確認｜後半（得点）,23点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-24,confirm-score-24.mp3,24点ですね。あっていますか。,確認｜後半（得点）,24点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-25,confirm-score-25.mp3,25点ですね。あっていますか。,確認｜後半（得点）,25点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-26,confirm-score-26.mp3,26点ですね。あっていますか。,確認｜後半（得点）,26点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-27,confirm-score-27.mp3,27点ですね。あっていますか。,確認｜後半（得点）,27点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-28,confirm-score-28.mp3,28点ですね。あっていますか。,確認｜後半（得点）,28点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-29,confirm-score-29.mp3,29点ですね。あっていますか。,確認｜後半（得点）,29点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-30,confirm-score-30.mp3,30点ですね。あっていますか。,確認｜後半（得点）,30点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-31,confirm-score-31.mp3,31点ですね。あっていますか。,確認｜後半（得点）,31点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-32,confirm-score-32.mp3,32点ですね。あっていますか。,確認｜後半（得点）,32点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-33,confirm-score-33.mp3,33点ですね。あっていますか。,確認｜後半（得点）,33点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-34,confirm-score-34.mp3,34点ですね。あっていますか。,確認｜後半（得点）,34点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-35,confirm-score-35.mp3,35点ですね。あっていますか。,確認｜後半（得点）,35点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-36,confirm-score-36.mp3,36点ですね。あっていますか。,確認｜後半（得点）,36点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-37,confirm-score-37.mp3,37点ですね。あっていますか。,確認｜後半（得点）,37点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-38,confirm-score-38.mp3,38点ですね。あっていますか。,確認｜後半（得点）,38点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-39,confirm-score-39.mp3,39点ですね。あっていますか。,確認｜後半（得点）,39点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-40,confirm-score-40.mp3,40点ですね。あっていますか。,確認｜後半（得点）,40点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-41,confirm-score-41.mp3,41点ですね。あっていますか。,確認｜後半（得点）,41点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-42,confirm-score-42.mp3,42点ですね。あっていますか。,確認｜後半（得点）,42点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-43,confirm-score-43.mp3,43点ですね。あっていますか。,確認｜後半（得点）,43点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-44,confirm-score-44.mp3,44点ですね。あっていますか。,確認｜後半（得点）,44点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-45,confirm-score-45.mp3,45点ですね。あっていますか。,確認｜後半（得点）,45点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-46,confirm-score-46.mp3,46点ですね。あっていますか。,確認｜後半（得点）,46点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-47,confirm-score-47.mp3,47点ですね。あっていますか。,確認｜後半（得点）,47点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-48,confirm-score-48.mp3,48点ですね。あっていますか。,確認｜後半（得点）,48点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-49,confirm-score-49.mp3,49点ですね。あっていますか。,確認｜後半（得点）,49点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-50,confirm-score-50.mp3,50点ですね。あっていますか。,確認｜後半（得点）,50点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-51,confirm-score-51.mp3,51点ですね。あっていますか。,確認｜後半（得点）,51点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-52,confirm-score-52.mp3,52点ですね。あっていますか。,確認｜後半（得点）,52点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-53,confirm-score-53.mp3,53点ですね。あっていますか。,確認｜後半（得点）,53点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-54,confirm-score-54.mp3,54点ですね。あっていますか。,確認｜後半（得点）,54点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-55,confirm-score-55.mp3,55点ですね。あっていますか。,確認｜後半（得点）,55点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-56,confirm-score-56.mp3,56点ですね。あっていますか。,確認｜後半（得点）,56点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-57,confirm-score-57.mp3,57点ですね。あっていますか。,確認｜後半（得点）,57点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-58,confirm-score-58.mp3,58点ですね。あっていますか。,確認｜後半（得点）,58点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-59,confirm-score-59.mp3,59点ですね。あっていますか。,確認｜後半（得点）,59点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-60,confirm-score-60.mp3,60点ですね。あっていますか。,確認｜後半（得点）,60点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-61,confirm-score-61.mp3,61点ですね。あっていますか。,確認｜後半（得点）,61点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-62,confirm-score-62.mp3,62点ですね。あっていますか。,確認｜後半（得点）,62点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-63,confirm-score-63.mp3,63点ですね。あっていますか。,確認｜後半（得点）,63点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-64,confirm-score-64.mp3,64点ですね。あっていますか。,確認｜後半（得点）,64点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-65,confirm-score-65.mp3,65点ですね。あっていますか。,確認｜後半（得点）,65点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-66,confirm-score-66.mp3,66点ですね。あっていますか。,確認｜後半（得点）,66点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-67,confirm-score-67.mp3,67点ですね。あっていますか。,確認｜後半（得点）,67点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-68,confirm-score-68.mp3,68点ですね。あっていますか。,確認｜後半（得点）,68点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-69,confirm-score-69.mp3,69点ですね。あっていますか。,確認｜後半（得点）,69点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-70,confirm-score-70.mp3,70点ですね。あっていますか。,確認｜後半（得点）,70点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-71,confirm-score-71.mp3,71点ですね。あっていますか。,確認｜後半（得点）,71点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-72,confirm-score-72.mp3,72点ですね。あっていますか。,確認｜後半（得点）,72点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-73,confirm-score-73.mp3,73点ですね。あっていますか。,確認｜後半（得点）,73点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-74,confirm-score-74.mp3,74点ですね。あっていますか。,確認｜後半（得点）,74点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-75,confirm-score-75.mp3,75点ですね。あっていますか。,確認｜後半（得点）,75点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-76,confirm-score-76.mp3,76点ですね。あっていますか。,確認｜後半（得点）,76点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-77,confirm-score-77.mp3,77点ですね。あっていますか。,確認｜後半（得点）,77点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-78,confirm-score-78.mp3,78点ですね。あっていますか。,確認｜後半（得点）,78点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-79,confirm-score-79.mp3,79点ですね。あっていますか。,確認｜後半（得点）,79点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-80,confirm-score-80.mp3,80点ですね。あっていますか。,確認｜後半（得点）,80点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-81,confirm-score-81.mp3,81点ですね。あっていますか。,確認｜後半（得点）,81点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-82,confirm-score-82.mp3,82点ですね。あっていますか。,確認｜後半（得点）,82点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-83,confirm-score-83.mp3,83点ですね。あっていますか。,確認｜後半（得点）,83点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-84,confirm-score-84.mp3,84点ですね。あっていますか。,確認｜後半（得点）,84点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-85,confirm-score-85.mp3,85点ですね。あっていますか。,確認｜後半（得点）,85点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-86,confirm-score-86.mp3,86点ですね。あっていますか。,確認｜後半（得点）,86点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-87,confirm-score-87.mp3,87点ですね。あっていますか。,確認｜後半（得点）,87点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-88,confirm-score-88.mp3,88点ですね。あっていますか。,確認｜後半（得点）,88点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-89,confirm-score-89.mp3,89点ですね。あっていますか。,確認｜後半（得点）,89点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-90,confirm-score-90.mp3,90点ですね。あっていますか。,確認｜後半（得点）,90点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-91,confirm-score-91.mp3,91点ですね。あっていますか。,確認｜後半（得点）,91点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-92,confirm-score-92.mp3,92点ですね。あっていますか。,確認｜後半（得点）,92点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-93,confirm-score-93.mp3,93点ですね。あっていますか。,確認｜後半（得点）,93点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-94,confirm-score-94.mp3,94点ですね。あっていますか。,確認｜後半（得点）,94点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-95,confirm-score-95.mp3,95点ですね。あっていますか。,確認｜後半（得点）,95点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-96,confirm-score-96.mp3,96点ですね。あっていますか。,確認｜後半（得点）,96点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-97,confirm-score-97.mp3,97点ですね。あっていますか。,確認｜後半（得点）,97点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-98,confirm-score-98.mp3,98点ですね。あっていますか。,確認｜後半（得点）,98点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-99,confirm-score-99.mp3,99点ですね。あっていますか。,確認｜後半（得点）,99点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-score-100,confirm-score-100.mp3,100点ですね。あっていますか。,確認｜後半（得点）,100点,前に教科名の音声が来る。文の途中から始まる調子で
confirm-grade-1,confirm-grade-1.mp3,1ですね。あっていますか。,確認｜後半（評定）,評定1,前に教科名の音声が来る。文の途中から始まる調子で
confirm-grade-2,confirm-grade-2.mp3,2ですね。あっていますか。,確認｜後半（評定）,評定2,前に教科名の音声が来る。文の途中から始まる調子で
confirm-grade-3,confirm-grade-3.mp3,3ですね。あっていますか。,確認｜後半（評定）,評定3,前に教科名の音声が来る。文の途中から始まる調子で
confirm-grade-4,confirm-grade-4.mp3,4ですね。あっていますか。,確認｜後半（評定）,評定4,前に教科名の音声が来る。文の途中から始まる調子で
confirm-grade-5,confirm-grade-5.mp3,5ですね。あっていますか。,確認｜後半（評定）,評定5,前に教科名の音声が来る。文の途中から始まる調子で
confirm-choice-review-mood-1,confirm-choice-review-mood-1.mp3,「とてもよくできた」ですね。あっていますか。,確認｜選択肢,今回の手ごたえ,とてもよくできた
confirm-choice-review-mood-2,confirm-choice-review-mood-2.mp3,「まあまあできた」ですね。あっていますか。,確認｜選択肢,今回の手ごたえ,まあまあできた
confirm-choice-review-mood-3,confirm-choice-review-mood-3.mp3,「ふつう」ですね。あっていますか。,確認｜選択肢,今回の手ごたえ,ふつう
confirm-choice-review-mood-4,confirm-choice-review-mood-4.mp3,「あまりできなかった」ですね。あっていますか。,確認｜選択肢,今回の手ごたえ,あまりできなかった
confirm-choice-review-mood-5,confirm-choice-review-mood-5.mp3,「悔しかった」ですね。あっていますか。,確認｜選択肢,今回の手ごたえ,悔しかった
confirm-free,confirm-free.mp3,画面に出ている内容で、あっていますか。,確認｜自由記述,次に伸ばしたい教科,生徒の言葉は読み上げられないため、画面を見てもらう言い方に変える
confirm-retry,confirm-retry.mp3,あっていたら「はい」、ちがったら「いいえ」と言ってください。,確認｜言い直しの案内,,「はい」「いいえ」が聞き取れなかったとき
err-unheard,err-unheard.mp3,ごめんなさい、聞き取れませんでした。,聞き直し,,
err-score-format,err-score-format.mp3,点数を、0から100までの数字で言ってください。,聞き直し,,満点を100点から変える場合は録り直し
err-score-over,err-score-over.mp3,満点をこえています。0から100までの数字で言ってください。,聞き直し,,聞き取った点数が満点を上回ったとき。数字は読み上げない
err-grade-format,err-grade-format.mp3,評定を、1から5の数字で言ってください。,聞き直し,,
err-grade-range,err-grade-range.mp3,評定は1から5です。もう一度言ってください。,聞き直し,,
err-yesno,err-yesno.mp3,「はい」か「いいえ」で答えてください。,聞き直し,,
err-choice,err-choice.mp3,選択肢の中から、いちばん近いものを選んで言ってください。,聞き直し,,
err-free,err-free.mp3,もう少しくわしく聞かせてください。,聞き直し,,
skip,skip.mp3,わかりました。この質問はとばしますね。,進行,,「わからない」と言われたときと、「とばす」を押したとき
touch-accepted,touch-accepted.mp3,ありがとう。,進行,,画面のボタンから入力されたとき
touch-fallback,touch-fallback.mp3,うまく聞き取れないみたいです。画面から入力してください。,進行,,マイクが使えないとき
touch-hint,touch-hint.mp3,画面のボタンからも入力できます。,進行,,3回続けて聞き取れなかったとき。前後に別の音声が続く
